area,balcony_direction,house_direction,facade_width,price,interior,legality,bedrooms,bathrooms,floors,title,road_width,price_per_m2
36.0,0,0,3.0,5800.0,0,2,0,0,0,"Bán đất tại Đa Tốn, giá siêu hời 5.8 tỷ VND, diện tích 36m2",8.0,161.11111111111111
75.0,0,0,0.0,7000.0,1,2,2,2,0,"Bán căn góc 2 PN, 75m2, view thoáng ở chung cư Tràng An Complex Giá 7 tỷ. Liên hệ 0906 244 ***",0.0,93.33333333333333
77.64,0,0,0.0,3800.0,2,1,2,2,0,"Bán căn hộ chung cư Topaz Elite - 77,64m2, view đẹp",0.0,48.943843379701185
62.0,0,0,0.0,2050.0,1,0,2,2,0,"Bán gấp căn hộ Dream Home 2 (Residence) Gò Vấp, DT: 62m2, 2 PN, lô gia giặt phơi",0.0,33.064516129032256
64.0,0,0,0.0,2320.0,1,0,2,2,0,"Bán căn góc 2PN2WC 64m2 Thủ Thiêm Garden-269 Liên Phường, Phú Hữu sát GlobalCity-Q9-giá 2,32 tỷ",0.0,36.25
60.0,0,0,0.0,2200.0,0,0,3,2,0,"Bán căn hộ 9 View, Phước Long B, 87m 3PN - 2tỷ8; 58m2; 2PN, 2WC - 2 tỷ2; LH: 0903 333 *** Mr Viên",0.0,36.666666666666664
111.0,0,0,0.0,5500.0,1,2,3,2,0,"Nhà lớn 111m2, giấc mơ nhỏ, giá trị to, sở hữu căn hộ 3PN quận 4 chỉ 5,5 tỷ, sát sông, kề Q1",0.0,49.549549549549546
74.0,0,0,0.0,2400.0,1,2,2,2,0,Chung cư Sunview căn góc 74m2 giá rẻ nhất dự án!,0.0,32.432432432432435
112.0,0,0,4.0,5000.0,0,2,0,0,0,"NỀN ĐƯỜNG B21 KDC 91B - P.AN KHÁNH - Q.NINH KIỀU - TP.CẦN THƠ - CÓ MƯƠNG HỞ BÊN HÔNG 1M, 112 M2",12.0,44.642857142857146
75.0,0,0,0.0,5000.0,1,1,2,2,0,Essensia Sky - căn hộ khoáng nóng Onsen Nhật Bản,0.0,66.66666666666667
